fseq,name,kcal,carb,prt,fat
1,갈릭 난,1482.9,248.70999,52.621502,38.844
2,양배추롤,1324.05,61.8746,99.44359,75.6109
3,태국식 홍합찜,1934.0201,80.9841,109.15409,120.4934
4,듬직한 샌드위치,1605.8699,103.82961,65.9888,104.0181
5,북경오리구이,1570.17,52.817,236.3712,39.601
6,우엉 스키야키,559.4,107.92,23.953999,6.056
7,바질 페스토,1424.8601,25.492899,26.730501,137.52368
8,오이피클 샌드위치,48.4,11.744,0.687,0.114
9,썬드라이드 토마토,177.25,9.4382,1.5459001,15.5763
10,데리야끼 치킨,1333.4502,157.21849,129.623,7.337
11,돼지고기 두반장 볶음,734.15,57.9405,60.760994,28.435003
12,새우칠리마요,910.99994,49.509495,10.1185,76.05299
13,게살브로콜리,787.38,93.26201,45.8277,23.4798
14,마파두부덥밥,1393.24,139.52419,56.0285,68.95701
15,니쿠자가,1124.8999,158.07791,88.2964,14.887699
16,튜나 캐서롤,1715.3098,248.55939,71.3017,50.780502
17,돼지고기(삼겹살)오븐구이,4702.46,62.155003,187.82149,408.71912
18,엔젤 부리또,422.16003,38.38,13.127599,27.6147
19,시저 샐러드,2558.98,21.889,157.63051,220.438
20,감자 & 베이컨 샐러드,1989.7001,172.81801,70.00449,111.129
21,땅콩수프,1913.65,185.67221,85.9155,105.8881
22,김치찜,2425.45,69.825,119.8155,176.62
23,양송이버섯 피자,2405.99,258.4985,84.6185,121.7175
24,우유젤리,1391.36,265.70798,34.61,26.409
25,해물 빠에야,1417.59,163.14659,103.6309,35.892998
26,쌀국수,573.2,60.756,61.489002,9.236
27,날치알 떡볶이,1010.59,167.0417,42.7907,19.7848
28,비빔국수,1015.35,170.30551,34.8825,19.6343
29,옥수수 통조림치즈,561.12,36.0127,24.570099,34.9292
30,소고기(갈비)찜,1306.15,95.998505,64.22901,73.9105
31,일본라멘,1393.1499,106.153,86.789505,65.462
32,고구마 맛탕,577.6,121.32001,2.21,10.345
33,목살스테이크,2074.9402,70.67459,121.8734,141.90651
34,식빵 러스크,383.38998,45.974598,5.8405004,19.9713
35,고추잡채,1311.3398,132.9706,50.1369,60.546494
36,갈치조림,619.09,69.9271,46.237404,18.419
37,두부젓국찌개,323.19,15.896501,45.576397,8.401001
38,메밀비빔국수,648.44,100.25371,15.405001,20.6655
39,대구지리탕,398.69,25.1918,66.0307,3.1225002
40,감자 그라탕,500.25,35.1558,23.555498,28.6157
41,치킨스테이크,1073.59,18.462599,44.2619,80.468
42,치즈피쉬스틱,237.65999,20.1183,22.362902,37.3023
43,꽈리고추 감자조림,478.65002,80.152,7.4804997,14.974
44,크림스파게티,1462.5001,98.17299,41.892002,97.565506
45,치킨스낵랩,1145.85,86.451996,63.397003,58.7615
46,로제스파게티면,986.53,103.8578,20.021002,56.884197
47,소고기(차돌박이) 숙주나물볶음,463.49,15.0204,36.568104,27.692
48,가츠동,1060.79,95.018105,61.513897,47.405495
49,부추전,1467.8999,157.0,57.04,64.15
