,식품명,kcal,prt,fat,carb
0,귀리,380,11.4,7.35,67.71
1,오트밀,382,13.2,8.2,64.9
2,기장,360,11.2,1.9,74.6
3,메밀,363,13.64,3.38,67.84
4,메밀 국수,291,7.59,0.96,61.14
5,메밀 냉면,360,10.74,1.44,73.66
6,메밀묵,58,0.86,0.23,12.8
7,멥쌀,343,6.5,2,75.8
8,쌀,366,6.81,1.05,78.74
9,칠분도미,348,6.3,1.5,76.6
10,현미,357,7.33,2.23,75.92
11,누룽지,393,6.8,0.2,86.8
12,밥,143,2.72,0.48,31.02
13,즉석밥(백미),152,2.11,0.28,33.59
14,즉석밥(잡곡밥),150,2.83,0.38,33.76
15,멥쌀 과자,469,3.2,15.9,78.2
16,쌀국수,340,9.1,1.5,72.6
17,가래떡,213,3.71,0.37,48.8
18,개피떡(바람떡),207,4.3,0.8,45.6
19,꿀떡,210,3.09,1.46,46.14
20,무지개떡,229,3.5,0.3,53
21,백설기,245,3.99,0.52,53.45
22,송편,200,6.9,0.8,41.2
23,모싯잎송편,190,5.65,0.66,40.29
24,시루떡,183,5.83,0.41,38.94
25,절편,215,3.69,0.49,49.04
26,증편,195,3.02,0.43,44.66
27,미숫가루,398,14.52,5.48,76.17
28,밀,333,10.6,1,75.8
29,강력분,334,13.59,1.11,72.89
30,도넛가루,404,8.5,6.8,73.9
31,박력분,374,9.15,0.94,77.73
32,부침가루,368,9.8,0.98,75.52
33,빵가루,392,11.95,2.05,77.04
34,밀가루,375,10.34,1.01,76.64
35,호떡 믹스,385,8,5,77
36,미강,90,2.78,3.8,11.1
37,통밀가루,365,11.9,1.6,71.5
38,식빵 믹스,382,12.36,6.3,69.2
39,튀김가루,367,7.22,0.8,78.41
40,팬케이크가루,394,7.9,4.9,75.9
41,꽃빵,246,5.71,1.71,51.17
42,건빵,419,9.92,8.67,75.37
43,대추꿀약과,428,4.5,16.3,65.7
44,마카로니,457,11.5,13.96,71.28
45,만주,330,6.35,2.39,70.86
46,모나카,346,3.35,0.29,82.62
47,바닐라 웨하스,521,4.1,26.9,65.6
48,비스킷,489,5.7,24.93,60.34
49,뻥튀기,383,11.06,1.07,82.29
50,사과파이,471,5.5,21,64.98
51,약과,422,3.8,13.3,71.7
52,전병,390,7,3.2,84.9
53,초코볼,501,4.3,22.5,70.2
54,초코파이,428,4.29,15.57,67.59
55,쿠키,493,8.36,20.87,67.97
56,크랙커,513,7,27.8,58.8
57,국수,291,7.25,0.87,60.09
58,소면,370,10.36,1.27,74.88
59,중면,366,10.4,1.21,73.94
60,라면,500,10,16,79
61,라면사리,315,9,2.2,65
62,페투치네,98,6,2.7,14
63,스파게티면,365,11.78,1.28,76.64
64,우동면,164,3.33,1.25,33.09
65,중국국수면,249,8.6,1.2,55.7
66,쫄면,348,9.16,1.08,71.29
67,칼국수면,303,7.25,0.87,63.02
68,건포도빵,263,8.2,3.5,51.1
69,곰보빵,415,9.5,14.54,61.44
70,꽈배기,404,7.9,20.4,47.2
71,난,257,10.3,3.4,47.6
72,도넛,426,7.3,26,40.6
73,롤빵,309,10.1,9,48.6
74,마늘빵,424,9.8,17.2,57.5
75,머핀,296,6.9,11.4,41.4
76,모닝빵,316,9.06,4.91,58.99
77,모카빵,354,8.31,7.53,63.29
78,바게트,289,9.4,1.3,57.5
79,베이글,270,9.6,2,54.6
80,붕어빵,254,4.81,6.44,44.12
81,소시지빵,323,10.59,16.52,33
82,식빵,279,9.01,4.91,49.68
83,옥수수빵,321,7.4,10.2,49.1
84,와플,291,7.9,14.1,32.9
85,잼빵,285,5.3,3.9,58.1
86,찐빵,239,5.4,0.9,52.4
87,카스텔라,299,6.91,3.72,59.46
88,크루아상,438,7.9,26.8,43.9
89,크로켓,307,6,18.2,29.7
90,크림빵,275,6,7.7,45.5
91,팥빵,253,7.57,3.17,48.51
92,페이스트리,457,8.6,26.3,46.5
93,피칸파이,407,4.5,16.69,59.61
94,케이크,324,2.9,9.1,61.6
95,롤 케이크,369,7.51,20.22,39.24
96,배 케이크,296,6.2,10.8,43.5
97,쇼튼드 케이크,318,6.9,15.2,42.3
98,스폰지 케이크,352,6.6,15.2,47.2
99,엔젤푸드 케이크,258,5.9,0.8,57.8
100,치즈 샌드 크래커,503,10.1,25.3,58.2
101,초콜릿 케이크,417,5.23,22.09,49.31
102,치즈 케이크,331,5.87,21.32,28.82
103,파운드 케이크,408,5.66,20.71,49.65
104,팬케이크,227,6.4,9.7,28.3
105,겉보리,349,8.75,1.67,76.89
106,맥주보리,352,10,1,78
107,쌀보리,341,8.66,1.66,75.04
108,엿기름,358,14.65,2.71,71.68
109,수수,374,11.67,3.01,73.63
110,찰수수,371,11.2,3.22,72.91
111,통수수,360,10.5,3.1,76.5
112,수수경단,218,8.2,1.4,43.1
113,시리얼,390,6.65,1.68,86.99
114,아마란스,383,17.09,5.94,67.27
115,단옥수수,118,4.01,1.5,23.39
116,메옥수수,178,5.34,2.06,36.26
117,찰옥수수,141,4.79,1.4,28.96
118,강냉이,409,7.16,3.25,87.9
119,팝콘,497,8.12,27.28,61.18
120,팝콘 캐러멜맛,459,4.77,14.36,77.74
121,옥수수 통조림,105,2.07,0.73,22.45
122,옥수수묵,55,1.1,0,12.6
123,콘샐러드,104,3.2,0.2,22.4
124,율무,377,15.4,3.2,70.5
125,잡곡,358,9.79,2.09,73.4
126,메조,373,11.48,3.91,71.7
127,차조,370,10.9,3.8,71.93
128,찹쌀,363,6.64,0.99,78.17
129,찹쌀 과자,475,13.8,25.2,48.3
130,찹쌀 국수,334,8.1,0.3,74.6
131,찹쌀떡,245,4.81,1.75,52.65
132,찹쌀도넛,296,5,5.3,57.1
133,퀴노아,363,9.56,3.26,72.62
134,피,376,8.5,4.6,73.9
135,호밀,334,15.9,1.5,70.7
136,호밀빵,252,8.4,2.2,52.7
137,또띠아,237,7,1,50
138,감자,67,2.01,0.04,15.08
139,감자 부침가루,355,12.1,1.4,73.6
140,감자칩,469,5,18.2,71.4
141,감자 튀김,293,3.54,11.3,44.16
142,감자 샐러드,143,2.68,8.2,11.17
143,고구마,147,1.09,0.15,35.52
144,당면,358,0.08,0.07,88.75
145,곤약,194,3,0.1,85.3
146,돼지감자,35,2.18,0.09,14.92
147,마,63,1.84,0.12,14.05
148,아피오스감자,175,6.1,0.5,38.2
