hseq,useq,sex,age,height,weight,meal_type,no_egg,no_milk,no_bean,no_shellfish,no_ingredient,purpose,diet_type,vegetarian,served_date,served_number,fseq,food_name,food_kcal,food_carb,food_prt,food_fat
1,803,f,43,164.0,65.0,lunch,n,n,n,n,없음,all,all,2,Mon May 20 11:22:03 KST 2024,1,413,김치콩나물국,111.85,17.8725,7.8437004,1.9067999
2,803,f,43,164.0,65.0,lunch,n,n,n,n,없음,all,all,2,Mon May 20 11:22:03 KST 2024,1,289,봉골레 스파게티,896.2,141.245,46.907993,13.844
3,359,m,40,162.0,76.0,lunch,n,n,n,n,없음,diet,all,2,Mon May 20 11:22:03 KST 2024,1,259,롤케이크,576.5,138.986,9.557,2.421
4,62,f,33,163.0,60.0,lunch,n,n,n,n,없음,all,all,5,Mon May 20 11:22:03 KST 2024,1,106,아몬드 에너지바,315.8,26.0,7.836,22.588
5,62,f,33,163.0,60.0,lunch,n,n,n,n,없음,all,all,5,Mon May 20 11:22:03 KST 2024,1,321,산마늘(명이나물) 장아찌,1905.0,446.798,49.543,2.207
6,542,m,42,171.0,72.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:04 KST 2024,1,348,감자조림,149.3,21.756,4.138,4.515
7,542,m,42,171.0,72.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:04 KST 2024,1,391,마녀수프,984.0,73.53001,138.15999,17.71
8,947,m,23,168.0,69.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:04 KST 2024,1,110,시금치 섬초무침,272.3,9.343,3.948,24.462
9,947,m,23,168.0,69.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:04 KST 2024,1,58,알리오올리오,1086.1,94.7473,22.7116,67.8552
10,328,m,32,151.0,80.0,lunch,n,n,n,n,없음,diet,all,0,Mon May 20 11:22:04 KST 2024,1,302,두부샐러드,325.8,12.708,19.522003,22.346
11,126,m,34,175.0,71.0,lunch,n,n,y,n,없음,all,all,5,Mon May 20 11:22:04 KST 2024,1,418,오이지,260.0,62.0,16.0,0.0
12,126,m,34,175.0,71.0,lunch,n,n,y,n,없음,all,all,5,Mon May 20 11:22:04 KST 2024,1,384,김치밥,1190.1,195.52202,19.275,33.612
13,430,f,40,165.0,63.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:04 KST 2024,1,333,야채피클,758.55,190.428,5.2795,0.1885
14,430,f,40,165.0,63.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:04 KST 2024,1,544,버섯밥,769.8501,134.97302,17.742,16.474499
15,161,f,51,178.0,62.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:04 KST 2024,1,492,비빔밥부리또,1437.7999,95.618004,87.882996,74.62601
16,156,m,19,175.0,64.0,lunch,n,n,n,n,없음,bulkup,all,5,Mon May 20 11:22:04 KST 2024,1,547,두부무침,923.70996,58.6639,41.581497,59.455803
17,955,m,46,169.0,60.0,lunch,n,n,n,n,없음,bulkup,all,3,Mon May 20 11:22:04 KST 2024,1,585,쌈장열무비빔밥,859.7,74.745,28.997002,47.603996
18,955,m,46,169.0,60.0,lunch,n,n,n,n,없음,bulkup,all,3,Mon May 20 11:22:04 KST 2024,1,328,스토로베리 요거트 아이스캔디,827.60004,159.583,19.678,15.851001
19,933,m,50,165.0,76.0,lunch,n,n,n,n,없음,all,all,4,Mon May 20 11:22:04 KST 2024,1,478,양배추두부조림,859.75,71.939,44.163498,46.134003
20,215,m,41,171.0,72.0,lunch,n,n,n,n,없음,all,all,0,Mon May 20 11:22:04 KST 2024,1,535,고등어묵은지조림,1768.25,56.5415,177.3255,88.1
21,45,m,40,167.0,56.0,lunch,n,n,n,n,없음,bulkup,all,0,Mon May 20 11:22:05 KST 2024,1,162,깻잎나물,787.14,39.8777,22.220001,62.897
